file_Location,file_name,line,message,type
EIS/client/Dockerfile,Dockerfile,1,Replace `as` with upper case format `AS`.,CODE_SMELL
EIS/client/playwright.config.mjs,playwright.config.mjs,8,Remove this commented out code.,CODE_SMELL
EIS/client/src/App.css,App.css,30,Remove this commented out code.,CODE_SMELL
EIS/client/src/App.css,App.css,44,Remove this commented out code.,CODE_SMELL
EIS/client/src/App.css,App.css,46,Remove this commented out code.,CODE_SMELL
EIS/client/src/App.css,App.css,117,Remove this commented out code.,CODE_SMELL
EIS/client/src/App.css,App.css,141,Remove this commented out code.,CODE_SMELL
EIS/client/src/App.css,App.css,208,"Unexpected duplicate selector "".MuiDataGrid-root .MuiDataGrid-columnHeaders"", first used at line 158",CODE_SMELL
EIS/client/src/App.jsx,App.jsx,12,A fragment with only one child is redundant.,CODE_SMELL
EIS/client/src/components/@extended/Transitions.jsx,Transitions.jsx,8,"Remove this useless assignment to variable ""positionSX"".",CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,5,Remove this unused import of 'useDispatch'.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,6,Remove this unused import of 'setGISLayers'.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,7,Remove this unused import of 'layerService'.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,13,Remove this unused import of 'TableRow'.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,13,Remove this unused import of 'TableCell'.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,16,Remove this unused import of 'combineStyles'.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,39,'suppressInteractive' is missing in props validation,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,40,'suppressDisplayInfo' is missing in props validation,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,76,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,78,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,153,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,186,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,203,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,204,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,267,Do not use Array index in keys,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,273,"img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.",CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,305,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,306,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,308,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,384,Do not use Array index in keys,CODE_SMELL
EIS/client/src/components/BaseMap/GISLayers.jsx,GISLayers.jsx,390,"img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.",CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,13,'layers' is missing in props validation,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,16,Remove the declaration of the unused 'confirmText' variable.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,16,"Remove this useless assignment to variable ""confirmText"".",CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,37,Extract this nested ternary operation into an independent statement.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,45,Extract this nested ternary operation into an independent statement.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,64,'layers.map' is missing in props validation,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,74,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,78,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,79,Refactor this code to not nest functions more than 4 levels deep.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,82,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,83,Refactor this code to not nest functions more than 4 levels deep.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,113,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.",BUG
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,113,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,113,Anchor used as a button. Anchors are primarily expected to navigate. Use the button element instead.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,116,Anchor used as a button. Anchors are primarily expected to navigate. Use the button element instead.,CODE_SMELL
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,116,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.",BUG
EIS/client/src/components/BaseMap/OfflineControl.jsx,OfflineControl.jsx,116,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",CODE_SMELL
EIS/client/src/components/BaseMap/OfflineTileLayer.jsx,OfflineTileLayer.jsx,11,"React Hook ""useMap"" is called in function ""createTileLayer"" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word ""use"".",BUG
EIS/client/src/components/BaseMap/index.jsx,index.jsx,1,Remove this unused import of 'useState'.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,1,Remove this unused import of 'useMemo'.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,5,Remove this commented out code.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,12,Remove this unused import of 'isEqual'.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,13,Remove this unused import of 'setLayersOnModules'.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,13,Remove this unused import of 'calculateMapBounds'.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,37,'suppressInteractive' is missing in props validation,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,37,'suppressDisplayInfo' is missing in props validation,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,41,Remove the declaration of the unused 'renderTime' variable.,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,41,"Remove this useless assignment to variable ""renderTime"".",CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,54,'If' statement should not be the only statement in 'else' block,CODE_SMELL
EIS/client/src/components/BaseMap/index.jsx,index.jsx,91,'showVehicle' is missing in props validation,CODE_SMELL
